,glide_scores
DEC_1190,-7.73542127364475
DEC_1247,-7.68549551893941
DEC_1357,-7.62296734124153
DEC_1327,-7.47088512069861
DEC_1326,-7.43131849551048
DEC_1316,-7.38723972449421
DEC_1301,-7.37328800435081
DEC_1324,-7.32644469512015
DEC_1344,-7.24992529804131
DEC_1276,-7.05769474248972
DEC_1325,-7.04776184102637
DEC_1365,-6.94946174412455
DEC_1249,-6.91398083652353
DEC_1237,-6.82097674153222
DEC_1302,-6.81605913376945
DEC_1200,-6.75688747742681
DEC_1270,-6.75325438694772
DEC_1320,-6.75296913926652
DEC_1350,-6.73194454958349
DEC_1310,-6.65494022729901
DEC_1266,-6.64722904179282
DEC_1251,-6.61374782746265
DEC_1271,-6.55487579337601
DEC_1204,-6.52195832576094
DEC_1367,-6.51936696354663
DEC_1291,-6.51002826833487
DEC_1298,-6.5083223920176
DEC_1226,-6.50595341623459
DEC_1347,-6.47182060562756
DEC_1315,-6.46783466415431
DEC_1332,-6.46515163834981
DEC_1265,-6.46353114148091
DEC_1328,-6.4546568898505
DEC_1337,-6.45311249686813
DEC_1278,-6.44000129631635
DEC_1313,-6.4336575609685
DEC_1194,-6.42753473221831
DEC_1312,-6.40945639175953
DEC_1376,-6.3946936321671
DEC_1346,-6.37123565162782
DEC_1217,-6.35752263605174
DEC_1336,-6.35733945862082
DEC_1256,-6.34765355785647
DEC_1297,-6.34461780746307
DEC_1272,-6.33844681504439
DEC_1246,-6.33660715960713
DEC_1228,-6.30449765311787
DEC_1371,-6.3015342140313
DEC_1377,-6.2939489561809
DEC_1215,-6.2834635262614
DEC_1231,-6.28149182049258
DEC_1366,-6.27858367368745
DEC_1330,-6.25960143534003
DEC_1212,-6.24733606250393
DEC_1196,-6.21994857212018
DEC_1230,-6.21819912188248
DEC_1375,-6.21819912188248
DEC_1235,-6.19758020525525
DEC_1193,-6.19694386785731
DEC_1229,-6.19357494902169
DEC_1374,-6.18750155271938
DEC_1241,-6.17819708742578
DEC_1318,-6.15928191416487
DEC_1199,-6.15639844157249
DEC_1345,-6.14900564764968
DEC_1334,-6.14489367641894
DEC_1239,-6.14084121304968
DEC_1317,-6.13649152052605
DEC_1254,-6.13315287239138
DEC_1187,-6.13026941984818
DEC_1240,-6.12826280797339
DEC_1335,-6.12775041774739
DEC_1331,-6.11296956469612
DEC_1296,-6.10400466238612
DEC_1283,-6.10110467667917
DEC_1304,-6.0865616270505
DEC_1201,-6.07070485175266
DEC_1268,-6.05311400010251
DEC_1185,-6.04899008717877
DEC_1255,-6.04751981006919
DEC_1293,-6.0441165490415
DEC_1277,-6.02713232182613
DEC_1361,-6.01835160709342
DEC_1363,-6.01634320252354
DEC_1258,-6.00800967584111
DEC_1181,-5.99114967601387
DEC_1183,-5.98733211404554
DEC_1269,-5.98168889084755
DEC_1210,-5.97223411465429
DEC_1274,-5.96518474685669
DEC_1189,-5.95963045412828
DEC_1286,-5.94494104721672
DEC_1333,-5.93530933247572
DEC_1207,-5.92664360740421
DEC_1303,-5.92482650955224
DEC_1373,-5.92170722125763
DEC_1275,-5.91742686553879
DEC_1341,-5.90811993992657
DEC_1379,-5.88280879274653
DEC_1354,-5.87555243392574
DEC_1186,-5.87505654854715
DEC_1219,-5.86556925255552
DEC_1372,-5.84533289587672
DEC_1342,-5.80159170243136
DEC_1295,-5.79483213368839
DEC_1287,-5.78615024314566
DEC_1305,-5.77883327569185
DEC_1279,-5.77624481526849
DEC_1233,-5.77182802757236
DEC_1306,-5.75433515611021
DEC_1262,-5.74798366989656
DEC_1257,-5.73879941508327
DEC_1380,-5.7373035329795
DEC_1238,-5.72917750193252
DEC_1202,-5.71681839717565
DEC_1294,-5.71344032588657
DEC_1356,-5.70129905515319
DEC_1364,-5.69856186632562
DEC_1267,-5.69371499066823
DEC_1273,-5.68597886565433
DEC_1340,-5.67611625999468
DEC_1285,-5.67443941733163
DEC_1282,-5.66839309271483
DEC_1370,-5.66450728214615
DEC_1208,-5.66066802956304
DEC_1232,-5.65634928814172
DEC_1281,-5.63271421638248
DEC_1358,-5.62886023804435
DEC_1182,-5.61223129819918
DEC_1292,-5.60256277447392
DEC_1307,-5.60141856159642
DEC_1319,-5.57192504830662
DEC_1343,-5.56619655660814
DEC_1323,-5.55207218115425
DEC_1290,-5.53676502227422
DEC_1211,-5.53498012076503
DEC_1338,-5.53419554091827
DEC_1369,-5.52526315599047
DEC_1311,-5.52385305560076
DEC_1188,-5.51770244800898
DEC_1322,-5.51755431133991
DEC_1218,-5.51295449729835
DEC_1197,-5.51057165256134
DEC_1192,-5.50100607107896
DEC_1260,-5.5002954628409
DEC_1203,-5.49283277292427
DEC_1224,-5.48716080793481
DEC_1227,-5.48368344784009
DEC_1253,-5.47841202310042
DEC_1222,-5.47204521265876
DEC_1368,-5.45545925266898
DEC_1252,-5.44490410128432
DEC_1236,-5.44218605079872
DEC_1264,-5.43010408180138
DEC_1206,-5.42512701996089
DEC_1309,-5.40030802368605
DEC_1308,-5.39962721122251
DEC_1288,-5.39621274018805
DEC_1289,-5.36484838589009
DEC_1242,-5.34826220906406
DEC_1221,-5.31047667117974
DEC_1191,-5.2700775635821
DEC_1259,-5.2384131701815
DEC_1213,-5.23834313973787
DEC_1378,-5.21729661709878
DEC_1300,-5.20116069327779
DEC_1209,-5.19813407855161
DEC_1205,-5.18973943897909
DEC_1261,-5.17567052796209
DEC_1355,-5.12904275425144
DEC_1321,-5.12451717336266
DEC_1234,-5.12118130983482
DEC_1348,-5.11420776893816
DEC_1359,-5.08773910020752
DEC_1244,-5.04460098533726
DEC_1314,-5.02222434551526
DEC_1299,-5.02102542213068
DEC_1352,-5.01617170214742
DEC_1248,-4.99020697224225
DEC_1245,-4.93910703463214
DEC_1250,-4.87508749285464
DEC_1223,-4.86257170343363
DEC_1225,-4.84253916402383
DEC_1263,-4.80503742789231
DEC_1216,-4.79524593927642
DEC_1339,-4.78771545353688
DEC_1362,-4.78377057968735
DEC_1329,-4.67223329690071
DEC_1349,-4.61841122607061
DEC_1214,-4.49986429739558
DEC_1198,-4.48062380184142
DEC_1195,-4.29133198200722
DEC_1351,-4.19846491899227
DEC_1284,-4.1977311475417
DEC_1280,-4.11376284739256
DEC_1220,-4.08595182483492
DEC_1184,-3.99291225625651
DEC_1353,-3.11621743049183
