,glide_scores
DEC_1261,-6.86139849082675
DEC_1260,-6.82917231678933
DEC_1194,-6.79736665898837
DEC_1253,-6.29826935392493
DEC_1258,-6.20026094466983
DEC_1190,-6.15065748584818
DEC_1300,-6.09050748851897
DEC_1189,-6.01446925333004
DEC_1191,-5.96459350374634
DEC_1269,-5.91133545399839
DEC_1274,-5.89570869288035
DEC_1278,-5.77720424472958
DEC_1285,-5.67025659347393
DEC_1184,-5.64629848511517
DEC_1356,-5.63370926580336
DEC_1293,-5.61756520305569
DEC_1193,-5.61529158802863
DEC_1373,-5.54931575238421
DEC_1292,-5.50870667158478
DEC_1359,-5.4959231702152
DEC_1200,-5.39566082311562
DEC_1257,-5.36946252122549
DEC_1263,-5.3655533911679
DEC_1251,-5.31153231008886
DEC_1366,-5.30899438517198
DEC_1199,-5.30733006258669
DEC_1296,-5.30064205562558
DEC_1266,-5.28436235377324
DEC_1252,-5.27842685551858
DEC_1271,-5.26222342307461
DEC_1272,-5.22370791991988
DEC_1195,-5.21820949067083
DEC_1206,-5.12005123675301
DEC_1281,-5.10581090420654
DEC_1365,-5.0914960112645
DEC_1254,-5.09046131178656
DEC_1240,-5.04088004965651
DEC_1228,-4.98025732831562
DEC_1286,-4.96558862243824
DEC_1226,-4.952339183593
DEC_1275,-4.92911539645946
DEC_1270,-4.92568573607876
DEC_1186,-4.91918068693214
DEC_1268,-4.91837340638184
DEC_1264,-4.91433504268475
DEC_1276,-4.88207673189237
DEC_1235,-4.87038195537474
DEC_1265,-4.81475030247918
DEC_1376,-4.8022339914641
DEC_1351,-4.80093132295563
DEC_1187,-4.77853330706866
DEC_1287,-4.73573834077044
DEC_1279,-4.71238980947276
DEC_1222,-4.70573516980726
DEC_1192,-4.69778645092906
DEC_1298,-4.69520721249841
DEC_1299,-4.69520721249841
DEC_1256,-4.68433720419529
DEC_1245,-4.66412284771218
DEC_1280,-4.65765181323347
DEC_1291,-4.63617909259076
DEC_1247,-4.5778462603157
DEC_1259,-4.54925794359537
DEC_1368,-4.53305756218646
DEC_1262,-4.49943341715255
DEC_1224,-4.47804800776452
DEC_1219,-4.4601101189336
DEC_1232,-4.40917801236936
DEC_1304,-4.39090070288097
DEC_1375,-4.37315521667225
DEC_1198,-4.37236038818091
DEC_1317,-4.36460425999442
DEC_1277,-4.35237439886978
DEC_1244,-4.34358804058657
DEC_1273,-4.34089477177054
DEC_1185,-4.32092969555025
DEC_1334,-4.29192337225129
DEC_1197,-4.27853513583571
DEC_1354,-4.25766228756684
DEC_1309,-4.24949590696555
DEC_1237,-4.23510272190495
DEC_1196,-4.22447968395201
DEC_1360,-4.21566342718544
DEC_1347,-4.19630675034745
DEC_1267,-4.17886060064191
DEC_1337,-4.17089573913599
DEC_1339,-4.17048338261213
DEC_1181,-4.16719258443029
DEC_1319,-4.15970561892081
DEC_1289,-4.13937306030493
DEC_1223,-4.13361788517168
DEC_1346,-4.12655337731755
DEC_1295,-4.10549923405981
DEC_1380,-4.10511573949023
DEC_1350,-4.08686962846722
DEC_1221,-4.08386838891713
DEC_1288,-4.06833183617087
DEC_1352,-4.04957163795696
DEC_1371,-4.04371911971749
DEC_1233,-4.0426726369185
DEC_1367,-4.03435685828507
DEC_1182,-4.02875300544405
DEC_1297,-4.02218465543883
DEC_1327,-4.01943120169158
DEC_1220,-4.01938075811662
DEC_1249,-4.00911575750849
DEC_1305,-3.99923011218487
DEC_1306,-3.96798369906654
DEC_1308,-3.96247575910588
DEC_1294,-3.96172264691257
DEC_1370,-3.95710724666758
DEC_1246,-3.95663306309995
DEC_1239,-3.94907004283447
DEC_1369,-3.94735156035174
DEC_1323,-3.93686559556937
DEC_1377,-3.93636732839296
DEC_1333,-3.93377059241774
DEC_1330,-3.92887975386642
DEC_1318,-3.92235503857954
DEC_1201,-3.91926321313423
DEC_1378,-3.91142371919692
DEC_1227,-3.904861250388
DEC_1320,-3.8934032532722
DEC_1345,-3.88957259337072
DEC_1238,-3.8859866295372
DEC_1234,-3.88325804060529
DEC_1372,-3.88079112938406
DEC_1310,-3.87886685894283
DEC_1329,-3.87158952914581
DEC_1283,-3.87075124104891
DEC_1344,-3.85844466654143
DEC_1255,-3.85274912488999
DEC_1355,-3.84177350736562
DEC_1241,-3.83555717070335
DEC_1302,-3.79701637668498
DEC_1303,-3.77398279881613
DEC_1290,-3.76558042784366
DEC_1229,-3.76067475925183
DEC_1364,-3.75105578612747
DEC_1326,-3.74185871834821
DEC_1374,-3.73830515288152
DEC_1311,-3.72702982687909
DEC_1332,-3.71754406659658
DEC_1358,-3.7076791593888
DEC_1343,-3.69020278392872
DEC_1216,-3.68565659051468
DEC_1218,-3.68352225610095
DEC_1242,-3.67079221966232
DEC_1363,-3.59183490803403
DEC_1340,-3.58749606589267
DEC_1341,-3.58624422605735
DEC_1342,-3.58483645618622
DEC_1284,-3.57574429079245
DEC_1313,-3.54659471269951
DEC_1215,-3.53305011260172
DEC_1335,-3.52472150955393
DEC_1282,-3.51188724812656
DEC_1336,-3.50692666973279
DEC_1213,-3.49544078849967
DEC_1322,-3.47614776826672
DEC_1325,-3.46977480855364
DEC_1349,-3.45801902305726
DEC_1183,-3.453512779848
DEC_1207,-3.43251225660755
DEC_1236,-3.39221083707925
DEC_1231,-3.38314136706994
DEC_1243,-3.37905766225624
DEC_1353,-3.37066631743391
DEC_1348,-3.35008513200322
DEC_1357,-3.33901723116226
DEC_1230,-3.30403001012344
DEC_1203,-3.27964884457255
DEC_1214,-3.25517943826276
DEC_1361,-3.24885824092386
DEC_1316,-3.23107013413314
DEC_1314,-3.22220067663086
DEC_1225,-3.20836293876307
DEC_1212,-3.18909384324622
DEC_1321,-3.18780217269524
DEC_1312,-3.15922023187641
DEC_1204,-3.14653429808923
DEC_1362,-3.14316862246729
DEC_1328,-3.1416828474062
DEC_1248,-3.03474747677715
DEC_1307,-3.03428457883022
DEC_1202,-3.02973216224862
DEC_1205,-3.02275106393326
DEC_1324,-2.99283970454146
DEC_1379,-2.98291929765834
DEC_1208,-2.97444908032099
DEC_1209,-2.95670865858618
DEC_1315,-2.91059722753696
DEC_1211,-2.8888918817157
DEC_1217,-2.88198780447556
DEC_1210,-2.83063104506405
DEC_1250,-2.76189980630091
DEC_1301,-2.72745578665051
DEC_1338,0.550277021812262
DEC_1331,1.80372250539566
