,combind_scores
DEC_1314,6.936334801993256
DEC_1247,5.694085607586841
DEC_1294,4.165549001536771
DEC_1367,5.0954345329891275
DEC_1340,4.554522841677542
DEC_1214,5.330651005740167
DEC_1301,5.366172257856483
DEC_1194,5.149918558090155
DEC_1377,5.049898960204375
DEC_1225,2.5074009477962527
DEC_1324,5.228234232680352
DEC_1268,3.421097266769481
DEC_1375,3.7510729124615496
DEC_1233,2.8328732492200066
DEC_1254,5.639033480677914
DEC_1348,3.7249602731582745
DEC_1276,3.9794836088736494
DEC_1212,3.625261885582983
DEC_1249,3.5568046374057927
DEC_1236,1.8625409287358465
DEC_1305,4.5692272720798774
DEC_1312,5.054847105175485
DEC_1332,5.157436113316393
DEC_1319,4.676174186995125
DEC_1318,4.903850103181101
DEC_1239,4.112893771656899
DEC_1243,5.7234664978923355
DEC_1339,4.632736725739889
DEC_1199,4.109303676913145
DEC_1242,3.8402317397783365
DEC_1270,5.260531434938259
DEC_1238,3.547898566268071
DEC_1326,4.217835222418781
DEC_1292,3.5557428071612143
DEC_1317,3.5457533725107915
DEC_1371,3.821412914546675
DEC_1186,4.062956069900253
DEC_1205,1.5072919167501775
DEC_1182,2.7851711319333248
DEC_1227,3.8120922586672648
DEC_1190,4.063165930461706
DEC_1196,4.391049761054953
DEC_1229,2.1696111619990424
DEC_1192,5.399581626846099
DEC_1210,3.8350173231757845
DEC_1204,3.601423165249
DEC_1366,2.1948357808785017
DEC_1376,3.4210899994659956
DEC_1298,3.401164907447136
DEC_1325,2.619837355610872
DEC_1246,3.32032837684589
DEC_1356,3.682293221923559
DEC_1316,3.578500334823307
DEC_1250,3.4675623086881666
DEC_1252,2.4010156241988314
DEC_1350,4.99477407047271
DEC_1265,3.3033600858591705
DEC_1303,4.130100182537351
DEC_1334,3.61907218773769
DEC_1331,3.061228067585669
DEC_1338,2.3007473778285368
DEC_1373,0.7233221082088708
DEC_1353,4.68239894968835
DEC_1230,2.595590936490668
DEC_1368,4.737537066466252
DEC_1197,3.975989524996353
DEC_1280,3.6508198849052675
DEC_1342,3.4085362407567925
DEC_1337,3.249093575777388
DEC_1369,2.5212399348993877
DEC_1358,3.377029367111762
DEC_1374,3.3622850473256487
DEC_1275,2.8254536093241827
DEC_1285,2.869046937012549
DEC_1346,4.29877610248607
DEC_1224,3.4608664709771464
DEC_1330,2.55903635702591
DEC_1240,1.9425539246824925
DEC_1308,3.2608590127996893
DEC_1282,2.493461693812825
DEC_1200,3.5584761719327602
DEC_1195,4.458418609669625
DEC_1372,0.20813170664318958
DEC_1306,4.311747881355714
DEC_1215,0.827481820826077
DEC_1188,2.861347863153381
DEC_1361,4.526991523537263
DEC_1349,2.6173241004984265
DEC_1209,2.5544781391761773
DEC_1278,2.432148275281545
DEC_1378,1.7484760981642955
DEC_1231,4.013568770113032
DEC_1290,1.9458707244680542
DEC_1327,2.8114119130852515
DEC_1365,3.2598140196985304
DEC_1296,3.697373158977656
DEC_1293,3.584724143538657
DEC_1313,4.301243786391274
DEC_1302,2.2189736760852217
DEC_1309,3.408992007371428
DEC_1189,3.233072782044027
DEC_1223,2.9209464175611424
DEC_1271,2.5589519145854713
DEC_1241,3.0538612028055248
DEC_1219,2.251820886114838
DEC_1380,2.6306959863577846
DEC_1187,3.4753867684057838
